"set"	"accession"	"annotname"	"litteralname"	"chrsize.bp"	"annot"
"Aegilops_speltoides_Zhang2019"	"GCA_000347335.2"	"CM008423.1"	"1S"	"492061028"	">CM008423.1 Aegilops tauschii cultivar AL8/78 chromosome 1, whole genome shotgun sequence"
"Aegilops_speltoides_Zhang2019"	"GCA_000347335.2"	"CM008424.1"	"2S"	"561232408"	">CM008424.1 Aegilops tauschii cultivar AL8/78 chromosome 2, whole genome shotgun sequence"
"Aegilops_speltoides_Zhang2019"	"GCA_000347335.2"	"CM008425.1"	"3S"	"517722045"	">CM008425.1 Aegilops tauschii cultivar AL8/78 chromosome 3, whole genome shotgun sequence"
"Aegilops_speltoides_Zhang2019"	"GCA_000347335.2"	"CM008426.1"	"4S"	"418868640"	">CM008426.1 Aegilops tauschii cultivar AL8/78 chromosome 4, whole genome shotgun sequence"
"Aegilops_speltoides_Zhang2019"	"GCA_000347335.2"	"CM008427.1"	"5S"	"456583797"	">CM008427.1 Aegilops tauschii cultivar AL8/78 chromosome 5, whole genome shotgun sequence"
"Aegilops_speltoides_Zhang2019"	"GCA_000347335.2"	"CM008428.1"	"6S"	"371271057"	">CM008428.1 Aegilops tauschii cultivar AL8/78 chromosome 6, whole genome shotgun sequence"
"Aegilops_speltoides_Zhang2019"	"GCA_000347335.2"	"CM008429.1"	"7S"	"473654065"	">CM008429.1 Aegilops tauschii cultivar AL8/78 chromosome 7, whole genome shotgun sequence"
"Brachypodium_distachyon_Huo2011"	"GCA_000005505.4"	"1"	"1"	"75071545"	">1 dna:chromosome chromosome:Brachypodium_distachyon_v3.0:1:1:75071545:1 REF"
"Brachypodium_distachyon_Huo2011"	"GCA_000005505.4"	"2"	"2"	"59130575"	">2 dna:chromosome chromosome:Brachypodium_distachyon_v3.0:2:1:59130575:1 REF"
"Brachypodium_distachyon_Huo2011"	"GCA_000005505.4"	"3"	"3"	"59640145"	">3 dna:chromosome chromosome:Brachypodium_distachyon_v3.0:3:1:59640145:1 REF"
"Brachypodium_distachyon_Huo2011"	"GCA_000005505.4"	"4"	"4"	"48594894"	">4 dna:chromosome chromosome:Brachypodium_distachyon_v3.0:4:1:48594894:1 REF"
"Brachypodium_distachyon_Huo2011"	"GCA_000005505.4"	"5"	"5"	"28630136"	">5 dna:chromosome chromosome:Brachypodium_distachyon_v3.0:5:1:28630136:1 REF"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009386.1"	1	"255602192"	">CM009386.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 1, whole genome shotgun sequence"
