Marker	Chr	cM
gdm33	1A	0
tplb0029f21_174	1A	1.2
BobWhite_c1361_1187	1A	1.2
BobWhite_c4246_292	1A	1.2
BS00000713_51	1A	1.2
BS00009423_51	1A	1.2
BS00012321_51	1A	1.2
BS00023176_51	1A	1.2
BS00090003_51	1A	1.2
Excalibur_c11689_478	1A	1.2
GENE-0014_262	1A	1.2
GENE-0014_317	1A	1.2
GENE-3954_370	1A	1.2
RAC875_c20883_801	1A	1.2
RAC875_c42700_264	1A	1.2
RAC875_c95364_59	1A	1.2
Tdurum_contig75952_351	1A	1.2
tplb0028p02_562	1A	1.2
BobWhite_c4246_367	1A	1.2
BS00014831_51	1A	1.2
BS00033749_51	1A	1.2
BS00033750_51	1A	1.2
BS00064204_51	1A	1.2
BS00096054_51	1A	1.2
Kukri_c1818_2671	1A	1.2
Kukri_rep_c68121_997	1A	1.2
RAC875_rep_c105697_366	1A	1.2
RFL_Contig3481_1669	1A	1.2
Tdurum_contig44888_837	1A	1.2
Excalibur_c15165_367	1A	1.2
Excalibur_c35316_154	1A	1.2
Excalibur_c44612_474	1A	1.2
Excalibur_c58555_110	1A	1.2
Excalibur_c9509_1180	1A	1.2
Excalibur_rep_c70751_58	1A	1.2
IAAV3919	1A	1.2
IAAV5306	1A	1.2
IACX11116	1A	1.2
Kukri_c1818_2380	1A	1.2
Kukri_c2408_857	1A	1.2
RFL_Contig2831_1012	1A	1.2
tplb0025b13_150	1A	1.2
tplb0025b13_2372	1A	1.2
tplb0025b13_2879	1A	1.2
wsnp_Ex_c10657_17376448	1A	1.2
wsnp_Ku_c1818_3557408	1A	1.2
wsnp_Ra_c11211_18227610	1A	1.2
Kukri_c7192_1128	1A	1.2
BS00010488_51	1A	1.2
BS00022677_51	1A	1.2
Excalibur_c21898_153	1A	1.2
cfa2153	1A	4.1
Excalibur_c87411_54	1A	5.3
Tdurum_contig46733_6628	1A	5.3
Tdurum_contig43475_155	1A	5.3
Tdurum_contig26201_77	1A	5.3
BS00080187_51	1A	6.4
Excalibur_c5139_150	1A	7.5
RAC875_c1710_376	1A	8.7
BobWhite_c39996_85	1A	9.8
BobWhite_rep_c52088_322	1A	9.8
Kukri_c32052_171	1A	9.8
Kukri_c54157_348	1A	9.8
Excalibur_c17152_454	1A	9.8
BS00081729_51	1A	9.8
Excalibur_c17152_852	1A	9.8
Kukri_c54157_315	1A	9.8
Kukri_s105761_144	1A	9.8
Tdurum_contig42479_2158	1A	9.8
RAC875_rep_c116934_270	1A	9.8
RAC875_rep_c105796_519	1A	9.8
RAC875_c5831_1486	1A	11.1
BS00010267_51	1A	12.3
CAP11_c2581_302	1A	12.3
CAP8_c2448_355	1A	12.3
Excalibur_c21298_515	1A	12.3
Excalibur_c29380_255	1A	12.3
Excalibur_c9196_313	1A	12.3
Kukri_c1977_1940	1A	12.3
RAC875_c63624_1002	1A	12.3
RAC875_c75971_295	1A	12.3
Tdurum_contig43943_1165	1A	12.3
Tdurum_contig46413_680	1A	12.3
Tdurum_contig46413_779	1A	12.3
Tdurum_contig56871_696	1A	12.3
Tdurum_contig43943_56	1A	12.3
cfd15	1A	12.3
BobWhite_c18592_327	1A	13.5
BobWhite_c6558_234	1A	13.5
BS00022701_51	1A	13.5
BS00083340_51	1A	13.5
Kukri_c5715_141	1A	13.5
RAC875_c16352_326	1A	13.5
RAC875_c22821_542	1A	13.5
RAC875_c34888_65	1A	13.5
RAC875_c57939_175	1A	13.5
RAC875_c57939_78	1A	13.5
wsnp_Ex_c38203_45790396	1A	13.5
RAC875_c97040_104	1A	13.5
Excalibur_c101903_902	1A	16.9
Kukri_rep_c113971_162	1A	16.9
RAC875_c13855_882	1A	16.9
Excalibur_c25891_1402	1A	16.9
Tdurum_contig42479_3110	1A	16.9
wsnp_Ex_c1137_2183772	1A	16.9
RAC875_c20875_753	1A	16.9
RAC875_c50463_808	1A	16.9
BS00012052_51	1A	18
Kukri_c37592_531	1A	18
wsnp_Ex_c7252_12452995	1A	18
Tdurum_contig75476_721	1A	18
Tdurum_contig75476_167	1A	18
IAAV3809	1A	18
Excalibur_c20777_428	1A	18
Excalibur_c20777_315	1A	18
CAP7_c1645_359	1A	18
tplb0036l23_696	1A	18
tplb0036l23_243	1A	18
RFL_Contig1118_65	1A	18
RFL_Contig1118_1073	1A	18
RAC875_c85031_525	1A	18
IACX6155	1A	18
IAAV7856	1A	18
BS00110358_51	1A	18
BS00098484_51	1A	18
BobWhite_c1265_247	1A	18
BS00066253_51	1A	18
wsnp_BF200531A_Ta_2_1	1A	20.2
cfa2158b	1A	23.7
BS00039749_51	1A	27.1
BS00004033_51	1A	29.4
RAC875_c2654_1817	1A	29.4
Excalibur_rep_c96154_147	1A	29.4
Tdurum_contig9874_547	1A	29.4
TA005995-0488	1A	29.4
RAC875_c13012_1598	1A	29.4
D_contig94337_140	1A	29.4
wsnp_Ex_c64327_63176640	1A	29.4
RAC875_c64603_663	1A	29.4
RAC875_c56994_301	1A	29.4
RAC875_c37934_285	1A	29.4
Kukri_rep_c81545_195	1A	29.4
Kukri_rep_c72397_600	1A	29.4
Kukri_c24144_1568	1A	29.4
GENE-0249_161	1A	29.4
GENE-0249_122	1A	29.4
Excalibur_rep_c92985_618	1A	29.4
Excalibur_rep_c92985_510	1A	29.4
Excalibur_c81545_101	1A	29.4
Excalibur_c22642_90	1A	29.4
Excalibur_c18694_273	1A	29.4
Excalibur_c110483_103	1A	29.4
Ex_c3941_906	1A	29.4
BS00065419_51	1A	29.4
BS00064608_51	1A	29.4
wmc24	1A	35.3
Kukri_c13136_1363	1A	35.3
wsnp_Ku_c10239_16988077	1A	35.3
