Marker	Chr	cM
BoSF1331	C01	0
BoSF302	C01	12.299
snap980	C01	17.864
BoE106	C01	20.071
snap900	C01	21.276
BoSF912	C01	22.131
snap518	C01	25.152
snap1007	C01	27.474
BrBAC019	C01	28.001
BrBAC004	C01	29.396
snap539	C01	29.848
BoSF1993	C01	32.717
Ni4B10a	C01	32.857
BoSF1845	C01	34.829
snap1848	C01	35.818
BoSF1207	C01	36.259
BoE041	C01	36.32
Ni4B10b	C01	37.449
BoSF1469	C01	38.619
BrSF257	C01	39.046
sNRE30	C01	39.047
snap597	C01	39.433
snap940	C01	39.546
BrBAC015	C01	40.281
snap780	C01	40.461
snap512	C01	41.646
BrBAC002a	C01	41.74
snap511	C01	42.213
BoSF1229	C01	43.206
snap779	C01	43.39
snap1666	C01	45.682
Ra3E05	C01	46.618
snap1665	C01	46.647
BoSF2285	C01	47.355
BrSF626	C01	47.587
BoSF2345	C01	47.664
Na12H02	C01	48.366
snap563	C01	48.828
CB10369a	C01	49.071
snap564	C01	50.273
CB10369b	C01	50.506
BoSF2445	C01	50.718
snap311	C01	51.468
snap1649	C01	52.626
BoSF1597	C01	53.296
snap310	C01	54.116
BoSF063	C01	54.721
snap1196	C01	55.256
Na12E01	C01	55.36
BoSF2648	C01	55.827
snap1195	C01	56.485
snap088	C01	57.556
snap1192	C01	58.082
BoE341	C01	58.132
CB10517	C01	59.404
snap1191	C01	59.746
cnu235	C01	60.656
snap610	C01	61.333
snap1739	C01	62.556
snap338	C01	62.665
BrSF372	C01	63.984
BoSF1147	C01	64.647
BoSF130	C01	65.711
BoE188	C01	66.073
Ol12F11	C01	66.427
BoSF1426	C01	66.883
snap1693	C01	67.672
CB10374	C01	67.945
snap127	C01	69.56
snap063	C01	70.28
BoSF1923	C01	70.947
snap157	C01	71.273
snap1910	C01	71.662
snap062	C01	71.677
BrSF686	C01	72.049
FITO499	C01	72.343
CB10358	C01	72.447
BoSF1961	C01	72.738
BoE607	C01	73.032
BoSF1822	C01	73.514
BrSF178a	C01	73.717
BrSF178b	C01	73.717
BoE821	C01	73.943
Na12C08	C01	74.458
CB10258	C01	74.46
BoSF154	C01	74.721
BoE590	C01	74.78
BoE407	C01	74.796
snap1557	C01	75.031
BoSF2289	C01	75.261
BoSF2602	C01	75.497
snap318	C01	75.564
BoSF1800	C01	75.855
BoSF2858	C01	76.167
BoSF050	C01	76.227
BrBAC007	C01	76.328
BoSF2425	C01	76.625
snap315	C01	76.839
BrSF379	C01	77.317
snap238	C01	77.843
snap1668	C01	78.172
snap249	C01	78.304
snap1065	C01	78.564
snap168	C01	78.886
snap426	C01	79.018
snap485	C01	79.442
BoE860	C01	80.005
snap633	C01	80.413
snap048	C01	80.987
snap049	C01	81.257
BoE121	C01	81.698
BoSF274	C01	82.148
snap1617	C01	82.428
snap634	C01	82.753
snap128	C01	83.464
snap262	C01	83.745
snap365	C01	84.048
snap1969	C01	84.919
snap250	C01	85.611
snap169	C01	86.291
snap1336	C01	86.464
snap253	C01	87.439
snap1655a	C01	87.734
snap1655b	C01	88.89
snap138	C01	89.66
BoSF2598	C01	90.14
snap167	C01	90.944
