Marker	Chr	cM
wPt-6358	1A	0
AX-94538837	1A	0.697
Xgdm33	1A	12.446
BE425125	1A	13.997
Xcnl137	1A	16.43
wPt-665724	1A	19.162
wPt-730618	1A	19.958
wPt-6709	1A	19.958
wPt-666537	1A	19.958
Glu-A3	1A	21.124
AX-110506772	1A	21.854
AX-95147954	1A	22.356
AX-108726047	1A	22.829
AX-108728093	1A	22.829
AX-108729856	1A	22.829
AX-108731047	1A	22.829
AX-108731135	1A	22.829
AX-108732127	1A	22.829
AX-108733109	1A	22.829
AX-108736614	1A	22.829
AX-108736668	1A	22.829
AX-108739257	1A	22.829
AX-108742614	1A	22.829
AX-108746894	1A	22.829
AX-108747425	1A	22.829
AX-108747638	1A	22.829
AX-108752410	1A	22.829
AX-108753874	1A	22.829
AX-108756737	1A	22.829
AX-108756896	1A	22.829
AX-108759327	1A	22.829
AX-108767121	1A	22.829
AX-108767576	1A	22.829
AX-108768444	1A	22.829
AX-108769990	1A	22.829
AX-108770040	1A	22.829
AX-108773067	1A	22.829
AX-108775818	1A	22.829
AX-108777032	1A	22.829
AX-108778514	1A	22.829
AX-108779994	1A	22.829
AX-108784921	1A	22.829
AX-108789962	1A	22.829
AX-108790687	1A	22.829
AX-108791224	1A	22.829
AX-108792340	1A	22.829
AX-108802749	1A	22.829
AX-108805925	1A	22.829
AX-108807511	1A	22.829
AX-108809316	1A	22.829
AX-108815965	1A	22.829
AX-108818983	1A	22.829
AX-108826918	1A	22.829
AX-108827167	1A	22.829
AX-108827198	1A	22.829
AX-108827851	1A	22.829
AX-108830849	1A	22.829
AX-108831570	1A	22.829
AX-108838195	1A	22.829
AX-108844191	1A	22.829
AX-108844702	1A	22.829
AX-108844944	1A	22.829
AX-108846235	1A	22.829
AX-108848044	1A	22.829
AX-108848307	1A	22.829
AX-108852210	1A	22.829
AX-108854524	1A	22.829
AX-108857001	1A	22.829
AX-108858542	1A	22.829
AX-108860852	1A	22.829
AX-108861895	1A	22.829
AX-108870704	1A	22.829
AX-108872350	1A	22.829
AX-108875997	1A	22.829
AX-108876090	1A	22.829
AX-108883111	1A	22.829
AX-108884116	1A	22.829
AX-108888489	1A	22.829
AX-108892615	1A	22.829
AX-108894841	1A	22.829
AX-108895009	1A	22.829
AX-108898204	1A	22.829
AX-108901841	1A	22.829
AX-108905072	1A	22.829
AX-108906489	1A	22.829
AX-108912374	1A	22.829
AX-108922288	1A	22.829
AX-108923225	1A	22.829
AX-108924042	1A	22.829
AX-108933119	1A	22.829
AX-108933607	1A	22.829
AX-108934996	1A	22.829
AX-108947974	1A	22.829
AX-108950601	1A	22.829
AX-108951815	1A	22.829
AX-108956113	1A	22.829
AX-108957185	1A	22.829
AX-108960144	1A	22.829
AX-108960688	1A	22.829
AX-108961654	1A	22.829
AX-108971339	1A	22.829
AX-108977545	1A	22.829
AX-108986447	1A	22.829
AX-108988370	1A	22.829
AX-108996532	1A	22.829
AX-109003147	1A	22.829
AX-109005054	1A	22.829
AX-109005589	1A	22.829
AX-109008928	1A	22.829
AX-109012252	1A	22.829
AX-109016461	1A	22.829
AX-109030724	1A	22.829
AX-109074433	1A	22.829
AX-109077336	1A	22.829
AX-109079908	1A	22.829
AX-109270648	1A	22.829
AX-109271367	1A	22.829
AX-109272565	1A	22.829
AX-109274222	1A	22.829
AX-109274861	1A	22.829
AX-109274989	1A	22.829
AX-109276857	1A	22.829
AX-109282936	1A	22.829
AX-109283242	1A	22.829
AX-109288750	1A	22.829
AX-109289122	1A	22.829
AX-109290324	1A	22.829
AX-109290906	1A	22.829
AX-109293631	1A	22.829
AX-109293916	1A	22.829
AX-109294283	1A	22.829
AX-109298547	1A	22.829
AX-109300061	1A	22.829
AX-109300895	1A	22.829
AX-109303943	1A	22.829
AX-109304791	1A	22.829
AX-109305919	1A	22.829
AX-109306242	1A	22.829
AX-109311102	1A	22.829
AX-109312573	1A	22.829
AX-109315053	1A	22.829
AX-109320028	1A	22.829
AX-109322832	1A	22.829
AX-109323717	1A	22.829
AX-109326677	1A	22.829
AX-109327175	1A	22.829
AX-109337541	1A	22.829
AX-109343033	1A	22.829
AX-109346348	1A	22.829
AX-109349620	1A	22.829
AX-109350901	1A	22.829
AX-109353512	1A	22.829
AX-109353799	1A	22.829
AX-109357370	1A	22.829
AX-109360304	1A	22.829
AX-109369787	1A	22.829
AX-109372684	1A	22.829
AX-109378496	1A	22.829
AX-109388237	1A	22.829
AX-109389243	1A	22.829
AX-109394119	1A	22.829
AX-109394386	1A	22.829
AX-109395647	1A	22.829
AX-109405231	1A	22.829
AX-109405310	1A	22.829
AX-109406439	1A	22.829
AX-109410378	1A	22.829
AX-109416506	1A	22.829
AX-109421953	1A	22.829
AX-109423452	1A	22.829
AX-109432974	1A	22.829
AX-109434742	1A	22.829
AX-109436374	1A	22.829
AX-109436734	1A	22.829
AX-109446718	1A	22.829
AX-109451763	1A	22.829
AX-109454749	1A	22.829
AX-109457712	1A	22.829
AX-109466381	1A	22.829
AX-109469753	1A	22.829
AX-109480317	1A	22.829
AX-109490188	1A	22.829
AX-109496225	1A	22.829
AX-109504524	1A	22.829
AX-109507585	1A	22.829
AX-109510952	1A	22.829
AX-109515059	1A	22.829
AX-109516316	1A	22.829
AX-109527193	1A	22.829
AX-109548904	1A	22.829
AX-109549828	1A	22.829
AX-109550310	1A	22.829
AX-109555829	1A	22.829
AX-109569942	1A	22.829
AX-109580308	1A	22.829
AX-109617968	1A	22.829
AX-109696503	1A	22.829
AX-109815542	1A	22.829
AX-109817070	1A	22.829
AX-109817475	1A	22.829
AX-109818454	1A	22.829
AX-109819375	1A	22.829
AX-109820251	1A	22.829
AX-109821608	1A	22.829
AX-109821841	1A	22.829
AX-109822296	1A	22.829
AX-109824027	1A	22.829
AX-109829099	1A	22.829
AX-109832643	1A	22.829
AX-109838874	1A	22.829
AX-109838924	1A	22.829
AX-109840436	1A	22.829
AX-109841029	1A	22.829
AX-109843644	1A	22.829
AX-109844324	1A	22.829
AX-109848508	1A	22.829
AX-109852789	1A	22.829
AX-109853554	1A	22.829
AX-109856324	1A	22.829
AX-109856872	1A	22.829
AX-109859174	1A	22.829
AX-109865691	1A	22.829
AX-109867109	1A	22.829
AX-109873367	1A	22.829
AX-109884241	1A	22.829
AX-109887863	1A	22.829
AX-109890642	1A	22.829
AX-109893667	1A	22.829
AX-109894962	1A	22.829
AX-109896676	1A	22.829
AX-109897683	1A	22.829
AX-109901133	1A	22.829
AX-109901510	1A	22.829
AX-109901702	1A	22.829
AX-109903200	1A	22.829
AX-109903688	1A	22.829
AX-109913261	1A	22.829
AX-109914861	1A	22.829
AX-109917101	1A	22.829
AX-109919670	1A	22.829
AX-109920274	1A	22.829
AX-109924242	1A	22.829
AX-109934110	1A	22.829
AX-109934723	1A	22.829
AX-109934785	1A	22.829
AX-109936809	1A	22.829
AX-109945550	1A	22.829
AX-109946884	1A	22.829
AX-109956616	1A	22.829
AX-109959068	1A	22.829
AX-109960535	1A	22.829
AX-109964773	1A	22.829
AX-109969291	1A	22.829
AX-109976352	1A	22.829
AX-109977373	1A	22.829
AX-109983062	1A	22.829
AX-109984949	1A	22.829
AX-109986550	1A	22.829
AX-109988105	1A	22.829
AX-109993764	1A	22.829
AX-109999400	1A	22.829
AX-110004051	1A	22.829
AX-110004276	1A	22.829
AX-110005713	1A	22.829
AX-110007308	1A	22.829
AX-110008090	1A	22.829
AX-110012566	1A	22.829
AX-110014509	1A	22.829
AX-110017166	1A	22.829
AX-110018326	1A	22.829
AX-110026015	1A	22.829
AX-110026384	1A	22.829
AX-110026385	1A	22.829
AX-110028888	1A	22.829
AX-110035824	1A	22.829
AX-110043064	1A	22.829
AX-110044196	1A	22.829
AX-110046562	1A	22.829
AX-110048715	1A	22.829
AX-110051902	1A	22.829
AX-110052107	1A	22.829
AX-110052298	1A	22.829
AX-110062950	1A	22.829
AX-110063323	1A	22.829
AX-110068701	1A	22.829
AX-110081246	1A	22.829
AX-110082107	1A	22.829
AX-110084123	1A	22.829
AX-110086248	1A	22.829
AX-110089302	1A	22.829
AX-110104271	1A	22.829
AX-110105982	1A	22.829
AX-110114921	1A	22.829
AX-110146324	1A	22.829
AX-110167778	1A	22.829
AX-110360704	1A	22.829
AX-110361651	1A	22.829
AX-110365196	1A	22.829
AX-110365615	1A	22.829
AX-110365886	1A	22.829
AX-110366265	1A	22.829
AX-110370123	1A	22.829
AX-110372211	1A	22.829
AX-110372322	1A	22.829
AX-110373815	1A	22.829
AX-110375034	1A	22.829
AX-110375531	1A	22.829
AX-110377433	1A	22.829
AX-110377500	1A	22.829
AX-110380798	1A	22.829
AX-110382717	1A	22.829
AX-110386827	1A	22.829
AX-110394152	1A	22.829
AX-110396896	1A	22.829
AX-110399838	1A	22.829
AX-110399871	1A	22.829
AX-110402125	1A	22.829
AX-110406815	1A	22.829
AX-110407937	1A	22.829
AX-110409146	1A	22.829
AX-110409222	1A	22.829
AX-110410892	1A	22.829
AX-110411675	1A	22.829
AX-110412763	1A	22.829
AX-110413789	1A	22.829
AX-110414581	1A	22.829
AX-110418768	1A	22.829
AX-110418984	1A	22.829
AX-110418989	1A	22.829
AX-110419815	1A	22.829
AX-110420664	1A	22.829
AX-110426037	1A	22.829
AX-110427805	1A	22.829
AX-110430487	1A	22.829
AX-110432236	1A	22.829
AX-110435330	1A	22.829
AX-110436470	1A	22.829
AX-110436511	1A	22.829
AX-110438457	1A	22.829
AX-110439419	1A	22.829
AX-110441280	1A	22.829
AX-110443058	1A	22.829
AX-110443435	1A	22.829
AX-110448434	1A	22.829
AX-110449522	1A	22.829
AX-110449559	1A	22.829
AX-110450941	1A	22.829
AX-110456372	1A	22.829
AX-110458283	1A	22.829
AX-110459023	1A	22.829
AX-110460158	1A	22.829
AX-110471102	1A	22.829
AX-110471525	1A	22.829
AX-110473439	1A	22.829
AX-110475085	1A	22.829
AX-110476443	1A	22.829
AX-110476833	1A	22.829
AX-110479358	1A	22.829
AX-110486119	1A	22.829
AX-110491201	1A	22.829
AX-110495845	1A	22.829
AX-110497032	1A	22.829
AX-110500329	1A	22.829
AX-110503667	1A	22.829
AX-110505566	1A	22.829
AX-110510087	1A	22.829
AX-110511071	1A	22.829
AX-110515882	1A	22.829
AX-110517646	1A	22.829
AX-110518448	1A	22.829
AX-110521499	1A	22.829
AX-110524841	1A	22.829
AX-110528089	1A	22.829
AX-110532428	1A	22.829
AX-110532644	1A	22.829
AX-110545018	1A	22.829
AX-110556282	1A	22.829
AX-110556729	1A	22.829
AX-110568738	1A	22.829
AX-110570417	1A	22.829
AX-110577325	1A	22.829
AX-110580116	1A	22.829
AX-110584864	1A	22.829
AX-110589897	1A	22.829
AX-110613216	1A	22.829
AX-110617956	1A	22.829
AX-110620987	1A	22.829
AX-110623140	1A	22.829
AX-110623346	1A	22.829
AX-110628194	1A	22.829
AX-110628313	1A	22.829
AX-110633945	1A	22.829
AX-110637492	1A	22.829
AX-110639784	1A	22.829
AX-110640289	1A	22.829
AX-110640690	1A	22.829
AX-110645057	1A	22.829
AX-110659849	1A	22.829
AX-110669146	1A	22.829
AX-110713516	1A	22.829
AX-110714459	1A	22.829
AX-110734033	1A	22.829
AX-110907246	1A	22.829
AX-110914053	1A	22.829
AX-110918020	1A	22.829
AX-110918410	1A	22.829
AX-110920900	1A	22.829
AX-110921007	1A	22.829
AX-110921245	1A	22.829
AX-110921430	1A	22.829
AX-110930858	1A	22.829
AX-110932692	1A	22.829
AX-110932693	1A	22.829
AX-110934025	1A	22.829
AX-110934826	1A	22.829
AX-110935159	1A	22.829
AX-110940927	1A	22.829
AX-110944853	1A	22.829
AX-110945691	1A	22.829
AX-110947823	1A	22.829
AX-110949001	1A	22.829
AX-110949160	1A	22.829
AX-110950682	1A	22.829
AX-110954193	1A	22.829
AX-110954478	1A	22.829
AX-110955679	1A	22.829
AX-110959061	1A	22.829
AX-110961949	1A	22.829
AX-110963129	1A	22.829
AX-110968207	1A	22.829
AX-110975055	1A	22.829
AX-110977079	1A	22.829
AX-110979295	1A	22.829
