Marker	Chr	cM
chr01_341744	1	0
chr01_452338	1	3.302
chr01_789716	1	7.757
chr00_8129480	1	7.757
chr01_950548	1	8.319
chr01_1179288	1	9.569
chr01_1206807	1	9.569
chr01_1315919	1	10.82
chr01_1551051	1	13.799
chr01_1612528	1	14.368
chr01_1842032	1	16.867
chr01_1958454	1	19.683
chr01_2174758	1	24.748
chr01_2424295	1	29.08
chr01_2627760	1	30.257
chr01_2906594	1	33.201
chr01_3524124	1	38.78
chr01_4241599	1	39.916
chr01_4383669	1	42.736
chr01_4565977	1	44.106
chr01_8419621	1	44.106
chr01_12868425	1	47.794
chr01_15540217	1	55.563
chr01_16806817	1	60.888
chr01_17138382	1	62.593
chr01_17465101	1	63.511
chr01_17474587	1	63.841
chr01_17603043	1	63.841
chr01_19517945	1	66.636
chr01_19521597	1	66.636
chr01_19899766	1	67.198
chr01_22283666	1	68.322
chr01_23623530	1	69.445
chr01_27896307	1	72.685
chr01_28963069	1	75.156
chr01_31225098	1	78.172
chr01_32905826	1	80.967
chr01_32352217	1	83.094
chr01_32221218	1	83.973
chr01_31889560	1	88.247
chr01_31794793	1	91.889
chr01_33266998	1	94.574
chr01_33266233	1	95.123
chr01_33619449	1	96.261
chr01_33831779	1	98.4
chr01_33971390	1	98.995
chr01_34158574	1	101.939
chr01_34384300	1	103.645
chr01_34678659	1	106.652
chr01_34697396	1	107.599
chr01_34846190	1	108.723
chr01_34876165	1	109.278
chr01_35499953	1	110.745
chr01_35540409	1	112.8
chr00_7435437	1	112.8
chr01_35582064	1	113.923
chr01_35896019	1	114.485
chr01_36004148	1	116.581
chr01_36296190	1	119.928
chr01_36433391	1	120.757
chr01_36593213	1	122.197
chr01_36668445	1	122.972
chr01_36734307	1	123.748
chr01_36894661	1	124.523
chr01_36998948	1	124.633
chr02_164203	2	0
chr02_475620	2	0.775
chr02_581406	2	2.83
chr02_687546	2	3.398
chr02_802368	2	7.019
chr02_854389	2	8.269
chr02_971808	2	8.879
chr02_996987	2	8.879
chr02_1040909	2	9.435
chr02_1078625	2	9.99
chr02_1329774	2	12.291
chr02_1462903	2	14.326
chr02_1535725	2	15.211
chr02_1623514	2	16.917
chr02_1680510	2	16.917
chr02_1937609	2	23.746
chr02_2006948	2	27.277
chr02_2143987	2	29.192
chr02_2291502	2	30.071
chr02_2310618	2	31.072
chr02_2336060	2	32.759
chr02_2353454	2	33.198
chr02_2770551	2	42.299
chr02_2859806	2	44.519
chr02_3049784	2	45.686
chr02_3362365	2	48.112
chr02_4565491	2	50.187
chr02_6015657	2	50.846
chr02_7051605	2	53.949
chr02_7051806	2	55.268
chr02_7826617	2	57.284
chr02_8113174	2	58.28
chr02_8371192	2	59.275
chr02_9079639	2	61.53
chr02_11199109	2	63.786
chr02_12578264	2	65.398
chr02_13326331	2	67.451
chr02_14046990	2	68.22
chr02_14910035	2	69.545
chr02_15771889	2	72.241
chr02_15813424	2	75.517
chr02_16082886	2	78.792
chr02_16208068	2	81.45
chr02_16340369	2	82.012
chr00_2933325	2	82.012
chr02_16940895	2	83.136
chr02_17245064	2	86.846
chr02_17411447	2	86.846
chr02_18814347	2	88.023
chr02_19149034	2	88.578
chr02_20871367	2	89.702
chr02_21527966	2	90.258
chr02_22015126	2	90.258
chr02_22460871	2	91.946
chr02_22484093	2	93.633
chr02_23479910	2	98.302
chr02_23596549	2	98.302
chr02_23957370	2	100.155
chr02_23981652	2	100.717
chr02_24217787	2	101.279
chr02_24377308	2	102.415
chr02_24583201	2	103.908
chr02_24686480	2	105.291
chr02_24913899	2	109.85
chr02_25177727	2	112.205
chr02_25334946	2	115.149
chr02_25497277	2	117.515
chr02_25623824	2	118.912
chr02_25876579	2	123.642
chr02_26206397	2	127.708
chr03_67303	3	0
chr03_89298	3	0
chr03_132181	3	0
chr03_133050	3	0
chr03_224049	3	0
chr03_266386	3	0
chr03_401750	3	0
chr03_409191	3	0
chr03_435023	3	0
chr03_490503	3	0
chr03_516776	3	1.137
chr03_830424	3	5.156
chr03_1506463	3	10.989
chr03_1806174	3	15.23
chr03_1874968	3	16.955
chr03_2083679	3	19.309
chr03_2179953	3	20.446
chr03_2292137	3	21.002
chr03_3025324	3	25.333
chr03_3176995	3	27.099
chr03_3069540	3	27.903
chr03_3388812	3	29.422
chr03_3650054	3	29.978
chr03_3873798	3	30.533
chr03_4011819	3	32.341
chr03_4012175	3	33.017
chr03_4564332	3	35.161
chr03_5605605	3	35.81
chr03_7108097	3	38.555
chr03_6150294	3	38.884
chr00_3409021	3	38.884
chr03_8535879	3	41.155
chr03_11895049	3	44.396
chr03_14106227	3	46.321
chr03_15701852	3	47.665
chr03_17614888	3	48.44
chr03_21227329	3	49.216
chr03_21801680	3	49.991
chr03_21909870	3	50.211
chr03_22181566	3	51.36
chr03_23162779	3	51.916
chr03_22429118	3	51.916
chr03_23714880	3	57.76
chr03_24438346	3	59.318
chr03_24582893	3	62.031
chr03_24738966	3	63.605
chr03_25719400	3	69.484
chr03_25923550	3	75.283
chr03_26026771	3	77.132
chr03_26244032	3	79.952
chr03_26681530	3	85.784
chr03_26812327	3	88.552
chr03_27029355	3	89.114
chr03_27059547	3	90.264
chr03_27329962	3	91.413
chr03_27381297	3	92.537
chr03_27618281	3	93.508
chr03_27638037	3	95.357
chr03_27680513	3	95.959
chr03_27970879	3	97.664
chr03_28128535	3	101.841
chr03_28139913	3	102.403
chr03_28250248	3	103.552
chr03_28277024	3	103.552
chr03_28452390	3	104.114
chr03_28512437	3	104.67
chr03_28733141	3	105.833
chr03_29211378	3	107.598
chr03_29257789	3	109.307
chr03_29538259	3	112.395
chr03_29722370	3	113.532
chr03_29809675	3	114.093
chr03_30080502	3	114.649
chr03_30424678	3	115.786
chr03_30561179	3	116.115
chr03_30733854	3	116.677
chr03_30900408	3	119.004
chr03_30962715	3	119.56
chr03_31126249	3	121.265
chr03_31203736	3	121.265
chr03_31385347	3	122.11
chr03_31386360	3	122.55
chr04_413227	4	0
chr04_959674	4	2.385
chr04_1127842	4	4.932
chr04_1350183	4	7.618
chr04_1367257	4	7.837
chr04_1465843	4	9.291
chr04_1533371	4	10.066
chr04_1619845	4	10.761
chr04_1725047	4	12.61
chr04_1890114	4	14.975
chr04_2093300	4	18.995
chr04_2135780	4	19.545
chr04_2191501	4	20.669
chr04_2282735	4	21.677
chr04_2415747	4	26.731
chr04_2489794	4	27.513
chr04_2594143	4	29.336
chr04_2585372	4	29.995
chr04_2581979	4	30.325
chr04_2721811	4	30.325
chr04_2806257	4	30.325
chr04_2896687	4	32.49
chr04_2994383	4	34.215
chr04_3153629	4	36.542
chr04_3234029	4	40.719
chr04_3354924	4	41.969
chr04_3471437	4	47.507
chr04_3806029	4	52.4
chr04_4019468	4	53.55
chr04_5201026	4	54.686
chr04_5239087	4	54.686
chr04_10969847	4	56.987
chr04_14299667	4	60.564
chr04_15162243	4	66.847
chr04_15163532	4	66.847
chr04_15239722	4	67.416
chr04_15256396	4	68.565
chr04_15854018	4	69.8
chr04_15922403	4	72.434
chr04_16687925	4	75.046
chr04_16782369	4	75.957
chr04_17318260	4	77.993
chr04_17404640	4	79.698
chr04_18896489	4	82.939
chr04_19109660	4	83.049
chr04_20479692	4	86.732
chr04_20946853	4	89.973
chr04_21126351	4	89.973
chr04_21339074	4	90.529
chr04_21539492	4	91.084
chr04_23918319	4	91.304
chr04_24523843	4	92.086
chr04_25893667	4	92.745
chr04_26302027	4	93.52
chr04_27587568	4	95.886
chr04_27790539	4	96.991
chr04_27896522	4	97.767
chr04_28218968	4	100.132
chr04_28812781	4	102.498
chr04_29142376	4	106.518
chr04_29392941	4	108.467
chr04_29422343	4	109.133
chr04_29811311	4	112.722
chr04_30473591	4	122.256
chr04_30558116	4	123.961
chr04_30664251	4	125.085
chr04_30822715	4	126.209
chr04_30966322	4	129.153
chr04_30987059	4	129.715
chr04_31089106	4	130.29
chr04_31149908	4	132.098
chr04_31234537	4	132.666
chr04_31572465	4	132.666
