mkr	Chr	cM
Marker1837656	1	0
Marker1760148	1	6.698
Marker1770448	1	6.698
Marker1848281	1	6.698
Marker1861229	1	7.479
Marker1809647	1	8.524
Marker1783886	1	9.833
Marker1901698	1	10.352
Marker1907903	1	15.247
Marker1881080	1	10.352
Marker1854182	1	16.064
Marker1840709	1	16.597
Marker1802037	1	16.597
Marker1853390	1	16.921
Marker1780005	1	16.921
Marker1744862	1	16.597
Marker1839907	1	16.921
Marker1916036	1	16.813
Marker1778504	1	17.029
Marker1796807	1	17.029
Marker1917326	1	17.245
Marker1854115	1	17.245
Marker1776715	1	17.505
Marker1877771	1	17.505
Marker1748054	1	17.505
Marker1861342	1	18.024
Marker1869210	1	18.024
Marker1753982	1	18.543
Marker1883121	1	17.851
Marker1740393	1	18.197
Marker1776218	1	18.543
Marker1863170	1	18.543
Marker1896369	1	18.823
Marker1826864	1	18.962
Marker1868252	1	18.962
Marker1803550	1	18.962
Marker1847544	1	18.962
Marker1965444	1	19.242
Marker1830162	1	19.382
Marker1812599	1	19.522
Marker1745387	1	19.522
Marker1856215	1	20.805
Marker1842195	1	21.085
Marker1841913	1	22.514
Marker1876870	1	23.077
Marker1784545	1	23.357
Marker1875885	1	23.357
Marker1891875	1	23.357
Marker1868658	1	23.357
Marker1906066	1	23.497
Marker1867951	1	23.497
Marker1803976	1	23.497
Marker1965566	1	23.497
Marker1940256	1	23.636
Marker1898006	1	23.636
Marker1924818	1	23.636
Marker1955305	1	23.776
Marker1862004	1	24.197
Marker1961404	1	24.336
Marker1737792	1	24.557
Marker1962465	1	24.756
Marker1869209	1	25.177
Marker1791457	1	25.316
Marker1958195	1	25.456
Marker1758308	1	25.596
Marker1842737	1	25.596
Marker1947244	1	25.596
Marker1941674	1	25.596
Marker1776817	1	25.596
Marker1862155	1	25.735
Marker1842384	1	26.015
Marker1875542	1	26.155
Marker1941514	1	26.294
Marker1800048	1	26.574
Marker1758675	1	26.995
Marker1887803	1	27.135
Marker1891389	1	27.135
Marker1848853	1	27.274
Marker1872695	1	27.554
Marker1795384	1	27.694
Marker1943387	1	27.694
Marker1759259	1	27.833
Marker1770084	1	27.973
Marker1859339	1	27.973
Marker1830806	1	28.253
Marker1765744	1	28.393
Marker1924378	1	28.673
Marker1951977	1	28.952
Marker1762321	1	28.952
Marker1804122	1	29.092
Marker1925630	1	29.092
Marker1776461	1	29.092
Marker1812970	1	29.092
Marker1816756	1	29.466
Marker1881994	1	29.803
Marker1914564	1	29.732
Marker1897926	1	30.31
Marker1829121	1	31.073
Marker1828028	1	31.073
Marker1882340	1	31.463
Marker1768275	1	31.632
Marker1945306	1	31.463
Marker1799491	1	32.567
Marker1956532	1	32.567
Marker1871536	1	31.801
Marker1888213	1	31.971
Marker1769905	1	32.567
Marker1797630	1	32.14
Marker1876935	1	32.48
Marker1782959	1	32.819
Marker1751357	1	33.159
Marker1810322	1	33.159
Marker1882009	1	33.328
Marker1837795	1	33.328
Marker1956512	1	33.328
Marker1806717	1	33.498
Marker1894721	1	33.667
Marker1804935	1	33.837
Marker1955044	1	33.837
Marker1833817	1	34.176
Marker1805162	1	34.227
Marker1924159	1	34.227
Marker1896541	1	34.778
Marker1933655	1	34.687
Marker1902077	1	34.916
Marker1892832	1	35.367
Marker1876574	1	35.536
Marker1825120	1	35.536
Marker1868554	1	35.536
Marker1759201	1	36.047
Marker1791322	1	36.216
Marker1820487	1	36.386
Marker1765205	1	36.555
Marker1957468	1	37.935
Marker1803466	1	39.14
Marker1809144	1	40.344
Marker1942399	1	39.839
Marker1874398	1	40.855
Marker1917902	1	41.307
Marker1749079	1	39.839
Marker1881978	1	41.535
Marker1728198	1	39.839
Marker1796456	1	40.389
Marker1954775	1	40.94
Marker1875387	1	42.044
Marker1810930	1	41.704
Marker1924009	1	42.044
Marker1800471	1	42.204
Marker1886566	1	42.526
Marker1767427	1	42.526
Marker1883639	1	42.686
Marker1884565	1	42.846
Marker1904146	1	42.846
Marker1814493	1	43.006
Marker1916534	1	43.006
Marker1742591	1	43.006
Marker1871758	1	43.006
Marker1948376	1	43.006
Marker1735025	1	43.167
Marker1840057	1	43.327
Marker1957829	1	43.327
Marker1878482	1	43.487
Marker1940156	1	43.648
Marker1825315	1	43.808
Marker1816829	1	43.968
Marker1896407	1	44.128
Marker1926572	1	44.289
Marker1966466	1	44.289
Marker1863683	1	44.772
Marker1769320	1	45.32
Marker1896277	1	46.065
Marker1875560	1	46.548
Marker1871074	1	46.708
Marker1939005	1	47.03
Marker1829060	1	47.513
Marker1922775	1	44.08
Marker1729541	1	47.997
Marker1789838	1	48.48
Marker1784662	1	48.48
Marker1834660	1	48.64
Marker1870097	1	48.962
Marker1743824	1	48.962
Marker1890133	1	49.122
Marker1955828	1	49.122
Marker1774832	1	49.443
Marker1927093	1	50.089
Marker1832621	1	50.411
Marker1900395	1	46.116
Marker1754250	1	47.47
Marker1755521	1	51.717
Marker1886475	1	51.877
Marker1818893	1	52.523
Marker1954314	1	53.007
Marker1905222	1	53.49
Marker1893052	1	55.097
Marker1846437	1	53.812
Marker1953473	1	53.812
Marker1791678	1	53.972
Marker1921240	1	54.293
Marker1832048	1	55.097
Marker1941399	1	54.454
Marker1751401	1	54.937
Marker1955480	1	54.937
Marker1907801	1	55.097
Marker1850800	1	55.356
Marker1899379	1	55.356
Marker1728616	1	55.72
Marker1963312	1	56.266
Marker1809951	1	56.266
Marker1927823	1	56.266
Marker1783002	1	57.574
Marker1820004	1	58.354
Marker1914414	1	56.526
Marker1900087	1	56.526
Marker1968097	1	56.526
Marker1892090	1	56.785
Marker1871709	1	57.305
Marker1940507	1	57.565
Marker1740088	1	58.872
Marker1788972	1	58.872
Marker1753891	1	57.824
Marker1733684	1	59.131
Marker1772298	1	58.084
Marker1779033	1	59.65
Marker1900335	1	59.65
Marker1807390	1	59.909
Marker1839550	1	59.909
Marker1928661	1	58.084
Marker1957795	1	59.13
Marker1936553	1	59.389
Marker1775042	1	59.648
Marker1820204	1	59.908
Marker1774292	1	60.167
Marker1844619	1	60.167
Marker1942290	1	60.557
Marker1816201	1	60.816
