Marker	Chr	cM				
S1_628091	1	0				
S1_729480	1	0.29				
S1_737438	1	0.29				
S1_741575	1	0.29				
S1_749515	1	0.29				
S1_773888	1	0.58				
S1_781559	1	0.58				
S1_781568	1	0.58				
S1_808764	1	0.58				
S1_809012	1	0.58				
S1_860512	1	0.87				
S1_987720	1	1.15				
S1_1007506	1	1.15				
S1_1038727	1	1.72				
S1_1059696	1	2.01				
S1_1063106	1	2.01				
S1_1122806	1	3.49				
S1_1122844	1	3.77				
S1_1122865	1	4.06				
S1_1125964	1	4.34				
S1_1194199	1	4.95				
S1_1375634	1	6.26				
S1_1375655	1	6.26				
S1_1401021	1	7.13				
S1_1493087	1	7.13				
S1_1500023	1	7.13				
S1_1500036	1	7.13				
S1_1500132	1	7.13				
S1_1509728	1	7.13				
S1_1550548	1	7.72				
S1_1550887	1	7.72				
S1_1643566	1	8.58				
S1_1657432	1	8.87				
S1_1658371	1	8.87				
S1_1676850	1	9.81				
S1_1699098	1	10.72				
S1_1703264	1	10.72				
S1_1708228	1	10.72				
S1_1747144	1	11.61				
S1_1755167	1	11.61				
S1_1758770	1	11.61				
S1_1840024	1	11.61				
S1_1849925	1	11.61				
S1_1870949	1	11.61				
S1_1874423	1	11.61				
S1_1876452	1	11.61				
S1_2112087	1	14.09				
S1_2112136	1	14.09				
S1_2112272	1	14.09				
S1_2121040	1	14.09				
S1_2121772	1	14.09				
S1_2151095	1	14.09				
S1_2154820	1	14.09				
S1_2349219	1	15.34				
S1_2389524	1	16.6				
S1_2478886	1	16.6				
S1_2502010	1	16.6				
S1_2578206	1	16.6				
S1_2585473	1	16.6				
S1_2609032	1	16.6				
S1_2619281	1	16.6				
S1_2664684	1	16.6				
S1_2664703	1	16.89				
S1_2717785	1	17.19				
S1_2755739	1	17.19				
S1_2803270	1	17.83				
S1_2814561	1	17.83				
S1_2815580	1	17.83				
S1_2815901	1	17.83				
S1_2818023	1	17.83				
S1_2818395	1	17.83				
S1_2818449	1	17.83				
S1_2830459	1	17.83				
S1_2840176	1	17.83				
S1_2840674	1	17.83				
S1_2848187	1	17.83				
S1_2848235	1	17.83				
S1_2848409	1	17.83				
S1_2867144	1	18.13				
S1_2885468	1	18.13				
S1_2885521	1	18.13				
S1_2888186	1	18.13				
S1_2899285	1	18.13				
S1_2899567	1	18.13				
S1_2899652	1	18.13				
S1_2955311	1	18.43				
S1_2955357	1	19.39				
S1_2958149	1	19.39				
S1_2961416	1	19.39				
S1_2972304	1	19.39				
S1_3005288	1	19.39				
S1_3125424	1	19.39				
S1_3381048	1	19.39				
S1_3415589	1	19.69				
S1_3415670	1	19.69				
S1_3435464	1	19.98				
S1_3479871	1	20.56				
S1_3509893	1	20.56				
S1_3536384	1	21.14				
S1_3623035	1	22.88				
S1_3623764	1	22.88				
S1_3672250	1	23.17				
S1_3680685	1	23.45				
S1_3680733	1	23.45				
S1_3688266	1	23.45				
S1_3688293	1	23.45				
S1_3695146	1	23.74				
S1_3708821	1	23.74				
S1_3708932	1	23.74				
S1_3711638	1	23.74				
S1_3741958	1	23.74				
S1_3745249	1	23.74				
S1_3787279	1	23.74				
S1_3788022	1	23.74				
S1_3797769	1	23.74				
S1_3805795	1	23.74				
S1_3808725	1	23.74				
S1_3811559	1	23.74				
S1_3835241	1	23.74				
S1_3835925	1	23.74				
S1_3836269	1	23.74				
S1_3876464	1	23.74				
S1_3928973	1	24.03				
S1_3938466	1	24.03				
S1_3939680	1	24.03				
S1_3958933	1	24.31				
S1_3966385	1	24.31				
S1_3976012	1	24.31				
S1_3998846	1	24.31				
S1_4063952	1	24.9				
S1_4082023	1	24.9				
S1_4125427	1	24.9				
S1_4127643	1	24.9				
S1_4127724	1	24.9				
S1_4144034	1	24.9				
S1_4170954	1	24.9				
S1_4175503	1	24.9				
S1_4175553	1	24.9				
S1_4180523	1	24.9				
S1_4181078	1	24.9				
S1_4254284	1	24.9				
S1_4263758	1	24.9				
S1_4264399	1	24.9				
