Marker	Chr	cM
AX-110156738	1	0
AX-110090502	1	8.26
AX-109911195	1	4.18
AX-94812958	1	2.61
AX-109908110	1	19.14
AX-110910133	1	22.48
AX-111482680	1	2.24
AX-109849585	1	4.08
AX-111142978	1	3.15
AX-94897297	1	0.84
AX-109627222	1	1.15
AX-182152161	1	1.09
AX-109887577	1	0
AX-111105746	1	1.11
AX-111503092	1	1.68
AX-111775504	1	3.32
AX-111060518	1	0.56
AX-110934628	1	0.83
AX-111815631	1	0
AX-111382637	1	1.41
AX-109010441	1	0.28
AX-94846537	1	2.53
AX-109746270	1	1.49
AX-111606607	1	9.6
AX-86178400	1	1.43
AX-110080381	1	28.57
AX-111161814	1	2.25
AX-109334932	1	3.3
AX-109444408	1	0
AX-94566803	1	0
AX-109075563	2	0
AX-111220010	2	17.33
AX-108945987	2	4.33
AX-111734356	2	0
AX-108983103	2	0.26
AX-111283000	2	10.14
AX-108911375	2	4.23
AX-110415488	2	6.64
AX-109278936	2	0
AX-109401533	2	0.27
AX-109283238	2	1.1
AX-109898445	2	0
AX-109419741	2	0
AX-110124878	2	0
AX-109505933	2	0.79
AX-94575160	2	0
AX-111125241	2	0.84
AX-110078020	2	2.49
AX-110935958	2	3.62
AX-95201693	2	17.18
AX-95259287	3	0
AX-111644320	3	0.56
AX-182084286	3	6.4
AX-108859112	3	1.38
AX-110596103	3	1.27
AX-109394931	3	1.49
AX-110963247	3	9.38
AX-109316763	3	0.87
AX-111666852	4	0
AX-94864643	4	0
AX-95256476	4	12.77
AX-108866224	4	8.73
AX-110248393	4	0
AX-109863735	4	0
AX-111914504	4	5.72
AX-111482406	4	4.76
AX-110048819	4	0
AX-111490698	4	0
AX-110837046	4	0.53
AX-111473765	4	0.81
AX-111142287	4	0.27
AX-110501305	4	0
AX-110938872	4	0
AX-110779068	4	0
AX-110155453	4	0.29
AX-108785930	4	23.71
AX-110070510	4	12.68
AX-108920376	4	43.83
AX-111765943	4	31.42
AX-110058454	5	0
AX-110476682	5	0
AX-109944385	5	24.42
AX-111317347	5	0.31
AX-110935119	5	4.44
AX-94524902	5	2.86
AX-108879112	5	3.49
AX-109435975	5	6.48
AX-109558694	5	0.58
AX-111119791	5	0
AX-108733827	5	6.86
AX-94647797	5	14.69
AX-110563308	5	7.19
AX-89431101	5	1.22
AX-110238102	5	0.52
AX-89564905	5	8.03
AX-111580436	5	0.55
AX-94984296	5	0
AX-108986002	5	0
AX-108926220	5	4.18
AX-94840001	5	1.48
AX-95246226	5	15.35
AX-94730362	5	0.59
AX-94972062	5	0
AX-108903666	5	32.48
AX-111532602	6	0
AX-110016680	6	1.66
AX-109579274	6	2.24
AX-109897923	6	2.24
AX-110068547	6	0.59
AX-109280501	6	0
AX-182016608	6	7.29
AX-109940039	6	19.21
AX-95124889	6	3.85
AX-110409139	6	12.48
AX-109165959	6	3.44
AX-109637291	6	13.64
AX-109975102	6	10.41
AX-109968429	6	9.32
AX-111768962	6	3.58
AX-109856840	7	0
AX-111611031	7	4.61
AX-111980205	7	0.27
AX-110575187	7	2.96
AX-108948218	7	2.55
AX-110174970	7	5.85
AX-111629648	7	0
AX-108978807	7	0.54
AX-109359848	7	0.54
AX-94470019	7	14.46
AX-110296096	7	0
AX-94964468	7	0
AX-182076818	7	1.61
AX-94923899	7	0.68
AX-109402197	7	0
AX-94997344	7	0.59
AX-111462186	7	0
AX-110044604	7	30.59
AX-111594797	7	0
AX-109592291	7	20.55
AX-94807766	7	27.9
AX-111254427	7	9.42
AX-110605376	7	0
AX-109937582	7	1.34
AX-109917900	7	1.34
AX-109627540	7	1.35
AX-110910179	7	0.81
AX-109270431	7	0
AX-111011212	7	0
AX-110990504	7	0.27
AX-110271371	7	0.26
AX-94978407	7	21.95
AX-110129241	7	41.29
AX-95105904	7	22.77
