set	mkr	map	phys	gen	vld
Manihot_esculenta_ICGMC2015	s04245:2907	1	2907	0	TRUE
Manihot_esculenta_ICGMC2015	s11243:42391	1	77624	0	TRUE
Manihot_esculenta_ICGMC2015	s11243:42130	1	77885	1.23	TRUE
Manihot_esculenta_ICGMC2015	s03367:756	1	121770	0.55	TRUE
Manihot_esculenta_ICGMC2015	s03367:2956	1	123970	3.02	TRUE
Manihot_esculenta_ICGMC2015	s03367:2967	1	123981	3.02	TRUE
Manihot_esculenta_ICGMC2015	s03367:3007	1	124021	0	TRUE
Manihot_esculenta_ICGMC2015	s03367:3286	1	124300	3.02	TRUE
Manihot_esculenta_ICGMC2015	s03367:3323	1	124337	3.02	TRUE
Manihot_esculenta_ICGMC2015	s04443:62214	1	187607	5.73	TRUE
Manihot_esculenta_ICGMC2015	s04443:62228	1	187621	5.73	TRUE
Manihot_esculenta_ICGMC2015	s04443:71116	1	196509	3.84	TRUE
Manihot_esculenta_ICGMC2015	s04443:71124	1	196517	2.38	TRUE
Manihot_esculenta_ICGMC2015	s04443:71134	1	196527	2.38	TRUE
Manihot_esculenta_ICGMC2015	s04443:71152	1	196545	2.38	TRUE
Manihot_esculenta_ICGMC2015	s04443:75563	1	200956	3.84	TRUE
Manihot_esculenta_ICGMC2015	s04443:152325	1	277718	4.6	TRUE
Manihot_esculenta_ICGMC2015	s04443:152798	1	278191	4.6	TRUE
Manihot_esculenta_ICGMC2015	s04443:357830	1	483223	0	TRUE
Manihot_esculenta_ICGMC2015	s04443:361199	1	486592	0	TRUE
Manihot_esculenta_ICGMC2015	s04443:361241	1	486634	4.16	TRUE
Manihot_esculenta_ICGMC2015	s04443:361245	1	486638	4.16	TRUE
Manihot_esculenta_ICGMC2015	s04443:400139	1	525532	5.85	TRUE
Manihot_esculenta_ICGMC2015	s04443:400465	1	525858	0.55	TRUE
Manihot_esculenta_ICGMC2015	s04443:400495	1	525888	5.85	TRUE
Manihot_esculenta_ICGMC2015	s08323:118534	1	667495	5.43	TRUE
Manihot_esculenta_ICGMC2015	s03736:190641	1	770574	5.73	TRUE
Manihot_esculenta_ICGMC2015	s03736:190319	1	770896	5.73	TRUE
Manihot_esculenta_ICGMC2015	s03736:144899	1	816316	5.73	TRUE
Manihot_esculenta_ICGMC2015	s03736:144898	1	816317	5.73	TRUE
Manihot_esculenta_ICGMC2015	s03736:139809	1	821406	7.65	TRUE
Manihot_esculenta_ICGMC2015	s03736:136040	1	825175	7.65	TRUE
Manihot_esculenta_ICGMC2015	s03736:68361	1	892854	6.9	TRUE
Manihot_esculenta_ICGMC2015	s03736:68152	1	893063	6.9	TRUE
Manihot_esculenta_ICGMC2015	s03736:63683	1	897532	5.73	TRUE
Manihot_esculenta_ICGMC2015	s03736:60727	1	900488	6.9	TRUE
Manihot_esculenta_ICGMC2015	s03736:60405	1	900810	6.9	TRUE
Manihot_esculenta_ICGMC2015	s03736:60396	1	900819	6.9	TRUE
Manihot_esculenta_ICGMC2015	s06801:61116	1	1023330	6.9	TRUE
Manihot_esculenta_ICGMC2015	s06801:66865	1	1029079	5.73	TRUE
Manihot_esculenta_ICGMC2015	s06801:66871	1	1029085	5.73	TRUE
Manihot_esculenta_ICGMC2015	s06801:112372	1	1074586	5.73	TRUE
Manihot_esculenta_ICGMC2015	s06801:119242	1	1081456	6.39	TRUE
Manihot_esculenta_ICGMC2015	s06801:119248	1	1081462	6.9	TRUE
Manihot_esculenta_ICGMC2015	s06801:183194	1	1145408	7.47	TRUE
Manihot_esculenta_ICGMC2015	s06801:194856	1	1157070	9.2	TRUE
Manihot_esculenta_ICGMC2015	s06801:194861	1	1157075	9.2	TRUE
Manihot_esculenta_ICGMC2015	s06801:195070	1	1157284	7.47	TRUE
Manihot_esculenta_ICGMC2015	s06801:210470	1	1172684	6.9	TRUE
Manihot_esculenta_ICGMC2015	s06801:210475	1	1172689	9.2	TRUE
Manihot_esculenta_ICGMC2015	s09784:1528	1	1177175	9.2	TRUE
Manihot_esculenta_ICGMC2015	s09784:2080	1	1177727	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:212388	1	1184376	7.33	TRUE
Manihot_esculenta_ICGMC2015	s03203:183607	1	1213157	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:161209	1	1235555	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:135120	1	1261644	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:131320	1	1265444	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:131307	1	1265457	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:131067	1	1265697	8.77	TRUE
Manihot_esculenta_ICGMC2015	s03203:131038	1	1265726	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:131028	1	1265736	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:99256	1	1297508	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:99225	1	1297539	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:96870	1	1299894	9.2	TRUE
Manihot_esculenta_ICGMC2015	s03203:96864	1	1299900	9.2	TRUE
