set	map	mkr	gen	phys	vld
Arachis_duranensis_Bertioli2016	A1	TOG902975_95	0	586072	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c9263_191	4.40000000000001	1385527	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c1383_590	4.40000000000001	1052488	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c4214_1102	4.40000000000001	1006923	TRUE
Arachis_duranensis_Bertioli2016	A1	TC2E05	5.30000000000001	1616458	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c1562_542	11.4	2872896	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c17603_90	17.4	3375539	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG905517_157	20.3	4420047	TRUE
Arachis_duranensis_Bertioli2016	A1	RN25H06	22.1	4888707	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c13546_273	22.7	5329221	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG897646	22.7	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG897646_500	22.7	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c5189_186	24.6	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c21594_45	25.8	7077947	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG894141_355	28.1	7698792	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c2443_410	28.8	8223562	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c2532_722	29.4	11431497	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG897306	29.4	11305656	TRUE
Arachis_duranensis_Bertioli2016	A1	Seq16G8	29.4	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	RN23A07	29.4	10755058	TRUE
Arachis_duranensis_Bertioli2016	A1	RN9A05	29.4	10755445	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG899506_248	30	10730950	TRUE
Arachis_duranensis_Bertioli2016	A1	Leg463_1	30	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c1095_330	32.6	12415674	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c19099_261	32.6	8360394	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c11080_157	32.6	12319543	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c18644_173	33.2	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c17991_98	33.2	19539593	TRUE
Arachis_duranensis_Bertioli2016	A1	Ah-193	37.6	20917033	TRUE
Arachis_duranensis_Bertioli2016	A1	TC20D05	42.5	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c761_64	43.3	90139528	TRUE
Arachis_duranensis_Bertioli2016	A1	Leg047	43.6	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG900261_468	43.9	26324691	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG901547_499	44.5	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG899544_615	44.5	69866567	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG897648_127	44.5	88672648	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG894987_466	44.5	53267522	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c2286_201	44.5	66133383	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c5813_1008	44.5	75708280	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c5807_604	44.5	35479326	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG895242_363	44.5	42216089	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG894987	45.1	53267522	TRUE
Arachis_duranensis_Bertioli2016	A1	Ah21	45.7	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	Leg304	45.7	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	Leg178	45.7	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG894747_278	47.4	91530067	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG895455_422	47.4	91786344	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG896615_1035	48.2	91975561	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG896615_1198	48.2	NA	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG899072_169	49.6	92825724	TRUE
Arachis_duranensis_Bertioli2016	A1	DS_c4584_63	49.6	92761824	TRUE
Arachis_duranensis_Bertioli2016	A1	TOG895199_183	49.6	92758328	TRUE
