set	map	mkr	gen	phys	vld
Triticum_dicoccoides_Jorgensen2017	1A	wsnp_Ex_c10657_17376448	0	175126	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig75952_351	0	178268	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig75952_351	0	182147	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	CAP11_rep_c7878_143	0	183466	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c18951_853	0.12	221702	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c42700_264	0.12	222184	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c9509_1180	0.23	298747	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	IAAV3919	0.23	299216	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_rep_c70751_58	0.23	300968	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_rep_c110533_92	0.23	301257	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00009423_51	0.23	4039419	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00010488_51	0.23	4039713	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c7192_1128	2.85	4253275	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c9676_163	9.83	7824108	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c39996_85	9.83	7825748	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c9676_163	9.83	8192574	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	wsnp_JD_c7522_8606553	9.83	8268534	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c39996_126	9.83	8424070	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c39996_126	9.83	8450214	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c39996_85	9.83	8450233	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c863_1064	9.83	8672190	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c863_1064	9.83	8765743	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c54157_315	9.83	8766082	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_s105761_144	9.83	8766382	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c863_1064	9.83	8789308	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c17152_852	9.83	8791649	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c863_1064	9.83	8791755	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c54157_315	9.83	8792092	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_s105761_144	9.83	8792392	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c17152_852	9.83	8809735	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c54157_315	9.83	8810180	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_s105761_144	9.83	8810478	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Ku_c111306_399	9.83	8815332	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	wsnp_JD_c7522_8606553	9.83	12012076	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c2121_1334	9.83	12012226	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig46413_680	11.67	9881816	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig46413_779	11.67	9881915	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c1977_1940	11.67	9881916	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig56871_696	11.78	9894270	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c9196_313	11.78	9990882	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig43943_1165	11.78	9990982	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c63624_1002	11.78	9992328	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig43943_56	11.78	9992428	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	CAP11_c2581_302	11.78	9993220	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00022439_51	13.11	10656592	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00022439_51	13.11	10676911	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig26035_231	13.35	11114233	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c22821_542	14.3	11716045	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c34888_65	14.42	11736341	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c16352_326	14.42	11749996	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c6558_234	14.42	11751305	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c38379_478	15.86	312636	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c101903_902	16.34	12267808	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c101903_734	16.34	12267977	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c48152_818	16.34	12314528	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c101903_734	16.34	12331052	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	IAAV4132	16.34	12608390	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00083459_51	16.34	12610916	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c50463_808	16.34	12711206	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00081682_51	16.81	12885338	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	CAP12_c1046_83	16.81	12885561	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00098484_51	19.28	13183046	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig83113_134	19.28	13216284	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00022443_51	19.28	13239766	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	IAAV6899	19.28	13326829	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c108229_54	19.28	13327195	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c105151_200	19.28	13327357	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig52332_94	19.28	13327853	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00022977_51	19.28	13338990	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig50845_215	19.28	13339083	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig61492_684	19.76	15456417	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig29484_628	19.76	15457762	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c2122_159	19.76	15457926	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c2122_159	19.76	15458253	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00012052_51	19.76	15459746	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig15335_452	19.76	15948904	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig15335_452	19.76	15979498	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00003802_51	19.76	16688951	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00003802_51	19.76	16698928	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	IACX5892	19.76	16699023	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00003761_51	19.76	16699124	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c59712_105	19.87	18336670	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c1764_139	19.87	19251316	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c1764_139	19.87	19251466	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig11756_1415	19.87	19251750	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	GENE-0211_139	19.87	19251851	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	wsnp_Ex_c5780_10154132	19.87	19252395	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c29598_147	19.87	19252646	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c46501_92	19.87	19252949	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig11756_458	19.87	19253151	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig11756_264	19.87	19253345	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig11756_264	19.87	19259917	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BobWhite_c3661_88	19.87	19266353	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c18434_200	19.87	19394363	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	D_contig08749_250	19.87	19463473	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Tdurum_contig20965_1446	19.87	14540001	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c37934_285	20.22	20570972	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_c24144_1568	20.22	20730986	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_c110483_103	20.22	20733426	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c2654_1817	20.22	20735890	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	wsnp_Ex_c64327_63176640	20.22	20735992	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	RAC875_c56994_301	20.22	20739407	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Kukri_rep_c72397_600	20.22	20740331	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	GENE-0249_122	20.22	21313275	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	GENE-0249_161	20.22	21313314	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_rep_c92985_618	20.34	21488386	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_rep_c92985_510	20.34	21488938	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	BS00101392_51	20.69	12447000	TRUE
Triticum_dicoccoides_Jorgensen2017	1A	Excalibur_rep_c96154_147	20.69	22736734	TRUE
