phys	rec.rate	upper	lower
0.5	NA	NA	NA
1.5	3.19544247806129	3.38059785724358	3.00491812808646
2.5	8.12506754589413	8.64074738249103	7.6813913499452
3.5	8.90266897332242	9.40214987869292	8.3508909692821
4.5	5.54436297233233	5.97503625938287	5.1602175937262
5.5	8.67884590848904	8.90313219395645	8.455264884162
6.5	5.51642695696005	5.71901927609794	5.31864901875182
7.5	4.38426336208146	4.59650135730431	4.16288110969743
8.5	2.89181839797526	3.20269890268167	2.60366310373112
9.5	8.17325532229038	8.54383896944107	7.81276440981107
10.5	10.9868262054871	11.4221395782324	10.5069294543567
11.5	9.39585239627642	9.94459092343687	8.91761608400314
12.5	10.7881697981371	11.2602897331629	10.3345811911097
13.5	8.24225052437255	8.78513409906231	7.67781321653227
14.5	3.90896054174454	4.62778810479906	3.05202999813177
15.5	2.02790752255904	3.06076929264179	1.23296460999337
16.5	3.2738408564564	3.63797245299665	2.54160773842786
17.5	3.81595737513295	4.15694120001885	3.4636397659306
18.5	4.41589528745101	4.82655985188771	4.04935380627589
19.5	4.91920679377057	5.49024367923131	4.40991566598239
20.08109	5.12828365984155	5.80633364946294	4.52490754869362
