set	map	mkr	gen	phys	vld
Aegilops_speltoides_Zhang2020	7S	Kukri_c542_1538	0	427328	TRUE
Aegilops_speltoides_Zhang2020	7S	Ku_c3662_836	3.267154	1053113	TRUE
Aegilops_speltoides_Zhang2020	7S	Ra_c9687_1038	3.267154	1085911	TRUE
Aegilops_speltoides_Zhang2020	7S	Kukri_c3734_892	3.267154	1265892	TRUE
Aegilops_speltoides_Zhang2020	7S	Excalibur_c53111_215	3.267154	1267671	TRUE
Aegilops_speltoides_Zhang2020	7S	Excalibur_c15405_808	3.267154	1267828	TRUE
Aegilops_speltoides_Zhang2020	7S	Jagger_c3075_99	7.312053	3667928	TRUE
Aegilops_speltoides_Zhang2020	7S	RAC875_c10555_178	8.783209	3870999	TRUE
Aegilops_speltoides_Zhang2020	7S	BS00022127_51	8.783209	3871311	TRUE
Aegilops_speltoides_Zhang2020	7S	Tdurum_contig10861_942	10.06071	4175506	TRUE
Aegilops_speltoides_Zhang2020	7S	Tdurum_contig98005_272	10.06071	5241413	TRUE
Aegilops_speltoides_Zhang2020	7S	wsnp_Ex_c11658_18773086	13.7058	6249500	TRUE
Aegilops_speltoides_Zhang2020	7S	Tdurum_contig85266_280	21.86432	6492905	TRUE
Aegilops_speltoides_Zhang2020	7S	Excalibur_c3423_1170	24.05075	6711293	TRUE
Aegilops_speltoides_Zhang2020	7S	Tdurum_contig30677_55	27.26793	6732753	TRUE
Aegilops_speltoides_Zhang2020	7S	Tdurum_contig30677_66	27.26793	6732765	TRUE
Aegilops_speltoides_Zhang2020	7S	BobWhite_c41356_62	36.073	10546597	TRUE
Aegilops_speltoides_Zhang2020	7S	Excalibur_c29698_76	42.44489	16806255	TRUE
Aegilops_speltoides_Zhang2020	7S	Excalibur_c41298_459	49.38212	30795162	TRUE
Aegilops_speltoides_Zhang2020	7S	CAP7_c1655_441	51.9996	36639266	TRUE
Aegilops_speltoides_Zhang2020	7S	Ku_c8929_274	53.04284	40098746	TRUE
Aegilops_speltoides_Zhang2020	7S	BS00022056_51	53.04284	40370588	TRUE
Aegilops_speltoides_Zhang2020	7S	wsnp_Ex_c46274_51831129	56.04762	44502349	TRUE
Aegilops_speltoides_Zhang2020	7S	GENE-4376_439	55.64469	44503017	TRUE
Aegilops_speltoides_Zhang2020	7S	BS00031746_51	56.04762	46348374	TRUE
Aegilops_speltoides_Zhang2020	7S	BS00054881_51	56.04762	47083691	TRUE
Aegilops_speltoides_Zhang2020	7S	BS00064344_51	55.64469	47338105	TRUE
Aegilops_speltoides_Zhang2020	7S	wsnp_Ex_c46061_51675763	53.75499	48799953	TRUE
Aegilops_speltoides_Zhang2020	7S	Kukri_rep_c72909_657	53.75499	48802090	TRUE
