set	map	mkr	gen	phys	vld
Brassica_juncea_Zou2016	A01	3145609S	0	NA	TRUE
Brassica_juncea_Zou2016	A01	100059259S	3.03699999999999	NA	TRUE
Brassica_juncea_Zou2016	A01	3090599S	4.467	447635	TRUE
Brassica_juncea_Zou2016	A01	3101438S	5.474	446444	TRUE
Brassica_juncea_Zou2016	A01	3103288S	6.619	17478374	TRUE
Brassica_juncea_Zou2016	A01	3091245S	9.04599999999999	17025012	TRUE
Brassica_juncea_Zou2016	A01	100085598	9.631	17031121	TRUE
Brassica_juncea_Zou2016	NA	3085551	NA	NA	TRUE
Brassica_juncea_Zou2016	A01	100061225S	10.112	17025209	TRUE
Brassica_juncea_Zou2016	A01	3079582S	10.609	NA	TRUE
Brassica_juncea_Zou2016	A01	3112010S	15.49	16602945	TRUE
Brassica_juncea_Zou2016	A01	100021544	19.773	NA	TRUE
Brassica_juncea_Zou2016	NA	3083750	NA	NA	TRUE
Brassica_juncea_Zou2016	A01	3208284	22.137	16087703	TRUE
Brassica_juncea_Zou2016	NA	3091379	NA	NA	TRUE
Brassica_juncea_Zou2016	A01	3076726S	22.503	15738553	TRUE
Brassica_juncea_Zou2016	A01	3092158	27.679	15190850	TRUE
Brassica_juncea_Zou2016	NA	3110798	NA	NA	TRUE
Brassica_juncea_Zou2016	A01	100064122	28.276	2784557	TRUE
Brassica_juncea_Zou2016	A01	3076324S	28.828	NA	TRUE
Brassica_juncea_Zou2016	A01	3086103S	30.232	14749683	TRUE
Brassica_juncea_Zou2016	A01	3089070S	31.127	14587684	TRUE
Brassica_juncea_Zou2016	A01	100102643	31.607	NA	TRUE
Brassica_juncea_Zou2016	NA	3089868	NA	NA	TRUE
Brassica_juncea_Zou2016	A01	100005889	31.836	NA	TRUE
Brassica_juncea_Zou2016	NA	3161095	NA	NA	TRUE
Brassica_juncea_Zou2016	A01	3092702S	34.007	3541708	TRUE
Brassica_juncea_Zou2016	A01	3092722	34.366	14403138	TRUE
Brassica_juncea_Zou2016	NA	3119202	NA	NA	TRUE
Brassica_juncea_Zou2016	NA	3109043	NA	NA	TRUE
Brassica_juncea_Zou2016	A01	3143244S	35.543	14080159	TRUE
Brassica_juncea_Zou2016	A01	3108882S	36.122	3949972	TRUE
Brassica_juncea_Zou2016	A01	100053780	36.526	NA	TRUE
Brassica_juncea_Zou2016	NA	3085321	NA	14109306	TRUE
Brassica_juncea_Zou2016	A01	3075728S	37.388	9897925	TRUE
Brassica_juncea_Zou2016	NA	3131906	NA	NA	TRUE
Brassica_juncea_Zou2016	NA	3135812	NA	NA	TRUE
